climate,soiltype,plantspecies,stageofgrowth,irrigationmethod,environmentalfactors,waterrequirement
1,1,1,15,1,1,1200
1,1,1,25,1,1,1500
1,2,1,15,1,2,1200
1,1,1,55,1,1,1800
1,1,1,75,1,1,2100
1,1,1,95 ,1,1,2400
1,1,1,135,1,1,2700
1,1,2,15 ,1,1,1200
1,1,2,25,1,1,1500
1,1,2,55,1,1,1800
1,1,2,75,1,1,2100
1,1,2,95 ,1,1,2400
1,1,2,135,1,1,2700
1,1,3,15,1,1,1200
1,1,3,25,1,1,1500
1,1,3,55,1,1,1800
1,1,3,75,1,1,2100
1,1,3,95 ,1,1,2400
1,1,3,135,1,1,2700
1,2,1,25,1,2,1500
1,2,1,55,1,2,1800
1,2,1,75,1,2,2100
1,2,1,95 ,1,2,2400
1,2,1,135,1,2,2700
1,2,2,15,1,2,1200
1,2,2,25,1,2,1500
1,2,2,55,1,2,1800
1,2,2,75,1,2,2100
1,2,2,95 ,1,2,2400
1,2,3,135,1,2,2700
1,2,3,15,1,2,1200
1,2,3,25,1,2,1500
1,2,3,55,1,2,1800
1,2,3,75,1,2,2100
1,2,3,95 ,1,2,2400
1,2,3,135,1,2,2700
2,3,1,15,1,3,800
2,3,1,25,1,3,1000
2,3,1,55,1,3,1200
2,3,1,75,1,3,1400
1,1,4,25,1,1,300
1,1,4,45,1,1,400
1,1,4,65,1,1,500
1,1,4,85,1,1,600
1,1,4,105,1,1,700
1,1,4,125,1,1,800
1,1,4,145,1,1,900
1,1,5,25,1,1,300
1,1,5,45,1,1,400
1,1,5,65,1,1,500
1,1,5,85,1,1,600
1,1,5,105,1,1,700
1,1,5,125,1,1,800
1,1,5,145,1,1,900
1,2,4,25,1,2,300
1,2,4,45,1,2,400
1,2,4,65,1,2,500
1,2,4,85,1,2,600
1,2,4,105,1,2,700
1,2,4,125,1,2,800
1,2,4,145,1,2,900
1,2,5,25,1,2,300
1,2,5,45,1,2,400
1,2,5,65,1,2,500
1,2,5,85,1,2,600
1,2,5,105,1,2,700
1,2,5,125,1,2,800
1,2,5,145,1,2,900
2,3,4,25,1,3,200
2,3,4,45,1,3,300
2,3,4,65,1,3,400
2,3,4,85,1,3,500
2,3,4,105,1,3,600
2,3,4,125,1,3,700
2,3,4,145,1,3,800
2,3,5,25,1,3,200
2,3,5,45,1,3,300
2,3,5,65,1,3,400
2,3,5,85,1,3,500
2,3,5,105,1,3,600
2,3,5,125,1,3,700
2,3,5,145,1,3,800